ticker,entry_date,exit_date,entry_price,exit_price,shares,commission,pnl_usd,pnl_pct,days_held,exit_reason,tier,consec_down,portfolio_val,experiment
TREX,2004-10-19,2004-10-25,5.466249942779541,5.631249904632568,548.8223245193442,5.4882,85.06743936458815,3.0185220869927196,6,profit_target,2,5,100085.06743936459,V33d_baseline
HOG,2004-10-19,2004-10-27,36.159006769667975,36.716758728027344,82.96688067539934,0.8297,45.44527136891802,1.542498005855734,8,time_stop,2,5,100130.51271073351,V33d_baseline
LPX,2004-10-19,2004-10-27,19.536421811108948,19.063579559326172,153.559337989627,1.5356,-74.1449365371839,-2.4203114385762534,8,time_stop,3,4,100056.36777419633,V33d_baseline
TTC,2004-10-19,2004-10-27,6.161875035368717,6.434274673461914,486.8647907950448,4.8686,127.75314490493983,4.4207264270963424,8,time_stop,2,5,100184.12091910127,V33d_baseline
MKC,2004-10-28,2004-11-01,11.019437521394627,11.431253433227539,272.7474629932524,2.7275,109.59427054274717,3.7371772473264357,4,profit_target,2,5,100293.71518964402,V33d_baseline
ZBRA,2004-11-01,2004-11-03,52.5,55.0099983215332,57.248069096629294,0.7,142.99255734355637,4.780949183872768,2,profit_target,3,4,100436.70774698758,V33d_baseline
HLX,2004-11-02,2004-11-04,17.649999618530273,19.69499969482422,511.4127230683531,5.1141,1040.7249304617928,11.586402948966374,2,profit_target,3,4,101477.43267744937,V33d_baseline
OII,2004-11-02,2004-11-04,7.70169644891337,8.143685340881348,1172.005989452038,11.7201,506.2935687632195,5.738851107671714,2,profit_target,3,4,101983.72624621258,V33d_baseline
MUR,2004-10-28,2004-11-05,18.6832438836169,18.803194046020508,160.86733365443803,1.6087,17.687389460740878,0.6420200001178109,8,time_stop,3,4,102001.41363567332,V33d_baseline
XRAY,2004-11-02,2004-11-05,21.18485285541303,21.615774154663086,426.0796347594918,4.2608,179.3459934469544,2.03410097861477,3,profit_target,3,4,102180.75962912028,V33d_baseline
SPGI,2004-11-03,2004-11-05,29.533207115903608,30.340539932250977,305.63678139131844,3.0564,243.69423568608505,2.7336442438471944,2,profit_target,3,4,102424.45386480636,V33d_baseline
IRM,2004-11-03,2004-11-08,7.939565516646765,8.11680793762207,1136.8927365285133,11.3689,190.1366936462681,2.2323944629423798,5,profit_target,3,4,102614.59055845263,V33d_baseline
FCN,2004-11-03,2004-11-09,18.790000915527344,19.5,480.3849881459483,4.8038,336.2690518965717,3.7786005847713398,6,profit_target,3,4,102950.8596103492,V33d_baseline
HBAN,2004-11-04,2004-11-11,11.01593431513324,11.24785327911377,820.5662305748369,8.2057,182.09920776657606,2.105304528386019,7,profit_target,3,4,103132.95881811577,V33d_baseline
TGT,2004-11-12,2004-11-15,30.655900495212116,31.589786529541016,302.77911082990664,3.0278,279.7333919822729,3.046350031292526,3,profit_target,3,4,103412.69221009804,V33d_baseline
NTAP,2004-11-11,2004-11-17,18.462542726861138,21.707258224487305,501.8581406693752,5.0186,1623.3683052330812,17.57458626164983,6,profit_target,3,4,105036.06051533112,V33d_baseline
VFC,2004-11-11,2004-11-19,7.14982885370314,7.069629669189453,1295.9159658951094,12.9592,-116.89056332200516,-1.1216937657486525,8,time_stop,3,4,104919.16995200912,V33d_baseline
VRTX,2004-11-18,2004-11-22,10.569999694824219,10.859999656677246,894.3468040977091,8.9435,250.41707103073543,2.7436137202069246,4,profit_target,3,4,105169.58702303986,V33d_baseline
HL,2004-11-16,2004-11-24,6.350226655388543,6.229712963104248,1465.639386432162,14.6564,-191.2860078805496,-1.897785682689478,8,time_stop,3,4,104978.3010151593,V33d_baseline
JBHT,2004-11-16,2004-11-24,16.090428664124985,16.03874969482422,578.4272434991063,5.7843,-35.67679619450846,-0.3211783251989391,8,time_stop,3,4,104942.62421896479,V33d_baseline
AEP,2004-11-19,2004-11-24,14.847891726433613,15.286510467529297,636.672574164199,6.3667,272.8897972284077,2.954080950865327,5,profit_target,3,4,105215.51401619319,V33d_baseline
CCL,2004-11-19,2004-11-24,33.8828164261352,34.902008056640625,278.99821925925045,2.79,281.56266780235296,3.0079897068983934,5,profit_target,3,4,105497.07668399555,V33d_baseline
DCI,2004-11-19,2004-11-24,11.818490430137675,12.532463073730469,799.8691120715049,7.9987,563.0859733531977,6.041149229787684,5,profit_target,3,4,106060.16265734874,V33d_baseline
BC,2004-11-22,2004-11-24,34.96571428075965,36.49726867675781,270.056696678918,2.7006,410.9059540005504,4.380160472914812,2,profit_target,2,5,106471.0686113493,V33d_baseline
GME,2004-11-22,2004-11-24,1.7253311566444929,1.8078103065490723,5472.992972575472,54.7299,396.6778780860072,4.780482262024921,2,profit_target,2,5,106867.7464894353,V33d_baseline
NSC,2004-11-22,2004-11-24,20.567775863593862,21.34780502319336,229.55144392629694,1.1478,177.90906267104899,3.792481816082959,2,partial_exit,1,6,107045.65555210636,V33d_baseline
PSA,2004-11-22,2004-11-24,24.796876553470245,25.452030181884766,380.8030126423056,3.808,245.67644531736408,2.6420812597175027,2,profit_target,3,4,107291.33199742372,V33d_baseline
SYNA,2004-11-22,2004-11-24,21.34666633605957,25.799999237060547,442.3512855367877,4.4235,1965.5140208256864,20.861959572011692,2,profit_target,3,4,109256.84601824942,V33d_baseline
WSM,2004-11-22,2004-11-24,11.439642300233837,11.721671104431152,825.4388596999928,8.2544,224.5431459421846,2.4653638356467704,2,profit_target,3,4,109481.3891641916,V33d_baseline
CHD,2004-11-17,2004-11-26,5.800817827703334,5.9560418128967285,1604.4534711054214,16.0445,233.00512713130453,2.675898292342189,9,time_stop,3,4,109714.3942913229,V33d_baseline
JPM,2004-11-18,2004-11-26,21.617507784271385,21.328895568847656,437.2958039713467,4.373,-130.58186881938462,-1.3350855163504074,8,time_stop,3,4,109583.81242250351,V33d_baseline
RMD,2004-11-18,2004-11-26,10.326392395543008,10.342976570129395,915.4451123182121,9.1545,6.0274504437570045,0.16059988765819216,8,time_stop,3,4,109589.83987294727,V33d_baseline
XRAY,2004-11-18,2004-11-26,21.274290247727393,21.188915252685547,444.3506850899355,4.4435,-42.37994438729351,-0.40130596155124937,8,time_stop,3,4,109547.45992855997,V33d_baseline
