ticker,entry_date,exit_date,entry_price,exit_price,shares,commission,pnl_usd,pnl_pct,days_held,exit_reason,tier,consec_down,portfolio_val
TREX,2004-10-19,2004-10-25,5.466249942779541,5.631249904632568,548.8223245193442,5.4882,85.06743936458815,3.0185220869927196,6,profit_target,2,5,100085.06743936459
HOG,2004-10-19,2004-10-27,36.159014547337264,36.71675491333008,82.96686282953247,0.8297,45.44429981152369,1.542465614660634,8,time_stop,2,5,100130.51173917612
LPX,2004-10-19,2004-10-27,19.536421811108948,19.063579559326172,153.559337989627,1.5356,-74.1449365371839,-2.4203114385762534,8,time_stop,3,4,100056.36680263894
TTC,2004-10-19,2004-10-27,6.161874083870105,6.4342756271362305,486.8648659752849,4.8686,127.75409219397024,4.420758028457436,8,time_stop,2,5,100184.1208948329
MKC,2004-10-28,2004-11-01,11.019434735212055,11.431257247924805,272.7475318893614,2.7275,109.59609859998397,3.7372380944077936,4,profit_target,2,5,100293.71699343288
ZBRA,2004-11-01,2004-11-03,52.5,55.0099983215332,57.24806908276166,0.7,142.99255730874864,4.780949183872768,2,profit_target,3,4,100436.70955074164
HLX,2004-11-02,2004-11-04,17.649999618530273,19.69499969482422,511.4127322661436,5.1141,1040.7249491792975,11.586402948966374,2,profit_target,3,4,101477.43449992094
OII,2004-11-02,2004-11-04,7.701693107218022,8.143684387207031,1172.0065190535042,11.7201,506.2965963213868,5.738884604149906,2,profit_target,3,4,101983.73109624234
MUR,2004-10-28,2004-11-05,18.683245831363177,18.803186416625977,160.86731684489624,1.6087,17.685846963584133,0.6419686726032259,8,time_stop,3,4,102001.41694320591
XRAY,2004-11-02,2004-11-05,21.184847103564756,21.61578369140625,426.07975810644814,4.2608,179.35255952565728,2.0341736984685643,3,profit_target,3,4,102180.76950273156
SPGI,2004-11-03,2004-11-05,29.533214734617452,30.34054183959961,305.63670804277854,3.0564,243.6924316000254,2.733624199860119,2,profit_target,3,4,102424.46193433159
IRM,2004-11-03,2004-11-08,7.939565041842404,8.116808891296387,1136.8928249644193,11.3689,190.13833246366227,2.2324125883456767,5,profit_target,3,4,102614.60026679524
FCN,2004-11-03,2004-11-09,18.790000915527344,19.5,480.38499678570304,4.8038,336.2690579443921,3.7786005847713398,6,profit_target,3,4,102950.86932473963
HBAN,2004-11-04,2004-11-11,11.015928745518806,11.247846603393555,820.5666601868559,8.2057,182.09839547210353,2.1052955518534073,7,profit_target,3,4,103132.96772021173
TGT,2004-11-12,2004-11-15,30.65590422631168,31.58978843688965,302.77910011385114,3.0278,279.73282988819295,3.046343711422559,3,profit_target,3,4,103412.70055009992
NTAP,2004-11-11,2004-11-17,18.462548483239225,21.707258224487305,501.8580315517165,5.0186,1623.3650633839236,17.574549603451068,6,profit_target,3,4,105036.06561348385
VFC,2004-11-11,2004-11-19,7.149833633501167,7.069628715515137,1295.9152218328402,12.9592,-116.89792630227983,-1.121773206165572,8,time_stop,3,4,104919.16768718157
VRTX,2004-11-18,2004-11-22,10.569999694824219,10.859999656677246,894.3468475067685,8.9435,250.41708318527049,2.7436137202069246,4,profit_target,3,4,105169.58477036684
HL,2004-11-16,2004-11-24,6.350227137148777,6.229711055755615,1465.6393934418948,14.6564,-191.28951036748666,-1.8978231611298395,8,time_stop,3,4,104978.29525999936
JBHT,2004-11-16,2004-11-24,16.09042381915313,16.03874397277832,578.4274643176457,5.7843,-35.67731713808343,-0.3211838728156651,8,time_stop,3,4,104942.61794286128
AEP,2004-11-19,2004-11-24,14.84788884942271,15.28651237487793,827.6745469612953,8.2767,354.7607822481028,2.9541137457550017,5,profit_target,3,4,105297.37872510939
CCL,2004-11-19,2004-11-24,33.88282414995994,34.90200424194336,278.9981692014514,2.79,281.55939805792707,3.0079549670142454,5,profit_target,3,4,105578.93812316732
DCI,2004-11-19,2004-11-24,11.818489474963421,12.53246784210205,799.869215540576,7.9987,563.0906242807114,6.041198146777886,5,profit_target,3,4,106142.02874744803
BC,2004-11-22,2004-11-24,34.96571428075965,36.49729537963867,270.05669084936517,2.7006,410.9131564222097,4.380236841670345,2,profit_target,2,5,106552.94190387023
GME,2004-11-22,2004-11-24,1.725331774075095,1.8078104257583618,5472.990895857313,54.7299,396.6750008065322,4.780451674431219,2,profit_target,2,5,106949.61690467676
NSC,2004-11-22,2004-11-24,20.56777771586881,21.347801208496094,229.55141829836398,1.1478,177.90774194714442,3.7924539218715183,2,partial_exit,1,6,107127.5246466239
PSA,2004-11-22,2004-11-24,24.796876553470245,25.4520263671875,380.8030044221381,3.808,245.67498736591347,2.642065875936173,2,profit_target,3,4,107373.19963398982
SYNA,2004-11-22,2004-11-24,21.34666633605957,25.799999237060547,442.3512759880143,4.4235,1965.5139783973075,20.861959572011692,2,profit_target,3,4,109338.71361238713
WSM,2004-11-22,2004-11-24,11.439645147062052,11.721675872802734,825.4386364660478,8.2544,224.5446713322583,2.465380019354132,2,profit_target,3,4,109563.25828371939
CHD,2004-11-17,2004-11-26,5.800818776987192,5.956043243408203,1604.4533379377356,16.0445,233.00587989941727,2.6759061502974695,9,time_stop,3,4,109796.2641636188
JPM,2004-11-18,2004-11-26,21.617507784271385,21.328893661499023,437.2958251964458,4.373,-130.5827092330528,-1.3350943395165737,8,time_stop,3,4,109665.68145438575
RMD,2004-11-18,2004-11-26,10.326392395543008,10.342976570129395,915.4451567513236,9.1545,6.027450736312367,0.16059988765819216,8,time_stop,3,4,109671.70890512205
